product_id,product_name,category,subcategory,cost_price
PROD0001,Laptop 1,Electronics,Consumer Electronics,30352.4
PROD0002,Laptop 2,Electronics,Consumer Electronics,16465.5
PROD0003,Laptop 3,Electronics,Consumer Electronics,8208.85
PROD0004,Laptop 4,Electronics,Consumer Electronics,36992.04
PROD0005,Laptop 5,Electronics,Consumer Electronics,16885.04
PROD0006,Laptop 6,Electronics,Consumer Electronics,26663.76
PROD0007,Laptop 7,Electronics,Consumer Electronics,15059.55
PROD0008,Laptop 8,Electronics,Consumer Electronics,18481.05
PROD0009,Laptop 9,Electronics,Consumer Electronics,48996.91
PROD0010,Laptop 10,Electronics,Consumer Electronics,39858.07
PROD0011,Laptop 11,Electronics,Consumer Electronics,34433.38
PROD0012,Laptop 12,Electronics,Consumer Electronics,23782.05
PROD0013,Laptop 13,Electronics,Consumer Electronics,39166.91
PROD0014,Laptop 14,Electronics,Consumer Electronics,28923.96
PROD0015,Laptop 15,Electronics,Consumer Electronics,29217.81
PROD0016,Laptop 16,Electronics,Consumer Electronics,31488.36
PROD0017,Laptop 17,Electronics,Consumer Electronics,42074.24
PROD0018,Laptop 18,Electronics,Consumer Electronics,34068.27
PROD0019,Laptop 19,Electronics,Consumer Electronics,47415.44
PROD0020,Laptop 20,Electronics,Consumer Electronics,1044.97
PROD0021,Laptop 21,Electronics,Consumer Electronics,7656.42
PROD0022,Laptop 22,Electronics,Consumer Electronics,20577.83
PROD0023,Laptop 23,Electronics,Consumer Electronics,46034.0
PROD0024,Laptop 24,Electronics,Consumer Electronics,36818.28
PROD0025,Smartphone 1,Electronics,Consumer Electronics,6990.32
PROD0026,Smartphone 2,Electronics,Consumer Electronics,16319.97
PROD0027,Smartphone 3,Electronics,Consumer Electronics,26321.31
PROD0028,Smartphone 4,Electronics,Consumer Electronics,8741.8
PROD0029,Smartphone 5,Electronics,Consumer Electronics,17182.12
PROD0030,Smartphone 6,Electronics,Consumer Electronics,38622.29
PROD0031,Smartphone 7,Electronics,Consumer Electronics,32201.12
PROD0032,Smartphone 8,Electronics,Consumer Electronics,30542.82
PROD0033,Smartphone 9,Electronics,Consumer Electronics,12401.3
PROD0034,Smartphone 10,Electronics,Consumer Electronics,11320.87
PROD0035,Smartphone 11,Electronics,Consumer Electronics,14950.97
PROD0036,Smartphone 12,Electronics,Consumer Electronics,10443.16
PROD0037,Smartphone 13,Electronics,Consumer Electronics,15920.33
PROD0038,Smartphone 14,Electronics,Consumer Electronics,46691.65
PROD0039,Smartphone 15,Electronics,Consumer Electronics,13745.53
PROD0040,Smartphone 16,Electronics,Consumer Electronics,33863.45
PROD0041,Smartphone 17,Electronics,Consumer Electronics,49010.01
PROD0042,Smartphone 18,Electronics,Consumer Electronics,47734.98
PROD0043,Smartphone 19,Electronics,Consumer Electronics,14593.59
PROD0044,Smartphone 20,Electronics,Consumer Electronics,35735.65
PROD0045,Smartphone 21,Electronics,Consumer Electronics,22174.57
PROD0046,Smartphone 22,Electronics,Consumer Electronics,24006.06
PROD0047,Smartphone 23,Electronics,Consumer Electronics,26975.04
PROD0048,Smartphone 24,Electronics,Consumer Electronics,34838.95
PROD0049,Tablet 1,Electronics,Consumer Electronics,30822.28
PROD0050,Tablet 2,Electronics,Consumer Electronics,12198.66
PROD0051,Tablet 3,Electronics,Consumer Electronics,26598.97
PROD0052,Tablet 4,Electronics,Consumer Electronics,2719.31
