item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM000001,ORD00905,PROD0240,-3,59945.25,17.95
ITEM000002,ORD00169,PROD0302,-5,51478.8,32.18
ITEM000003,ORD00567,PROD0234,-1,28753.29,18.01
ITEM000004,ORD01119,PROD0206,-3,14874.96,16.46
ITEM000005,ORD00620,PROD0282,-2,53870.0,49.9
ITEM000006,ORD01467,PROD0557,-3,19773.82,14.97
ITEM000007,ORD00710,PROD0414,-4,39625.11,37.89
ITEM000008,ORD00025,PROD0484,-5,8761.55,47.57
ITEM000009,ORD00815,PROD0234,-2,41721.94,10.49
ITEM000010,ORD00479,PROD0529,-5,59461.73,37.88
ITEM000011,ORD01480,PROD0473,-3,57038.57,15.65
ITEM000012,ORD00385,PROD0440,-4,20278.13,22.5
ITEM000013,ORD01144,PROD0031,-3,39448.15,43.69
ITEM000014,ORD00626,PROD0010,-4,72914.81,41.71
ITEM000015,ORD00696,PROD0231,-4,7205.96,37.63
ITEM000016,ORD01415,PROD0551,-3,21577.29,1.16
ITEM000017,ORD00066,PROD0143,-2,5006.1,49.71
ITEM000018,ORD01164,PROD0588,-4,35717.82,10.21
ITEM000019,ORD00801,PROD0066,-5,28825.55,23.74
ITEM000020,ORD00674,PROD0584,-4,16839.71,15.23
ITEM000021,ORD00352,PROD0107,-5,9546.85,41.32
ITEM000022,ORD01236,PROD0501,-1,6638.05,3.47
ITEM000023,ORD00791,PROD0291,-2,15974.8,32.98
ITEM000024,ORD00144,PROD0466,-1,61645.05,0.55
ITEM000025,ORD00670,PROD0421,-4,7819.7,5.54
ITEM000026,ORD01099,PROD0429,-4,14786.88,19.45
ITEM000027,ORD00423,PROD0134,-2,36735.55,40.89
ITEM000028,ORD01362,PROD0487,-2,60900.22,46.96
ITEM000029,ORD01204,PROD0208,-5,32672.9,22.95
ITEM000030,ORD00414,PROD0008,-2,27742.98,41.23
ITEM000031,ORD01239,PROD0253,-5,34315.29,28.46
ITEM000032,ORD01006,PROD0472,-4,63908.16,36.86
ITEM000033,ORD00590,PROD0468,-3,66027.71,35.58
ITEM000034,ORD00610,PROD0401,-5,70140.85,42.49
ITEM000035,ORD00851,PROD0256,-2,8358.29,36.66
ITEM000036,ORD00938,PROD0394,-2,74185.93,4.78
ITEM000037,ORD01431,PROD0045,-2,42064.89,7.9
ITEM000038,ORD01287,PROD0551,-3,26323.62,3.34
ITEM000039,ORD01488,PROD0223,-4,50328.66,38.09
