order_id,customer_id,order_date,status,region_code
ORD00001,,29-10-2025 16:43:14,DELIVERED,SOUTH
ORD00002,,17-05-2025 18:44:55,SHIPPED,CENTRAL
ORD00003,,05-09-2025 00:01:51,DELIVERED,CENTRAL
ORD00004,,22-01-2025 21:48:30,DELIVERED,CENTRAL
ORD00005,,14-03-2026 18:23:11,SHIPPED,CENTRAL
ORD00006,,27-05-2025 04:55:47,CANCELLED,CENTRAL
ORD00007,,29-08-2025 01:10:00,SHIPPED,WEST
ORD00008,,30-01-2025 11:41:43,PLACED,NORTH
ORD00009,,30-06-2025 16:24:49,RETURNED,SOUTH
ORD00010,,16-01-2025 11:29:04,RETURNED,WEST
ORD00011,,01-01-2025 12:44:28,DELIVERED,CENTRAL
ORD00012,,06-06-2025 11:34:05,SHIPPED,EAST
ORD00013,,11-07-2026 20:41:10,SHIPPED,EAST
ORD00014,,16-02-2025 06:12:13,PLACED,SOUTH
ORD00015,,01-04-2026 15:11:15,SHIPPED,NORTH
ORD00016,,13-02-2026 18:50:51,DELIVERED,NORTH
ORD00017,,18-10-2025 04:14:12,CANCELLED,CENTRAL
ORD00018,,20-03-2025 11:22:34,DELIVERED,EAST
ORD00019,,08-09-2025 13:45:34,SHIPPED,SOUTH
ORD00020,,23-07-2026 20:01:52,CANCELLED,WEST
ORD00021,,20-05-2026 05:35:50,DELIVERED,SOUTH
ORD00022,,04-07-2026 06:50:42,RETURNED,CENTRAL
ORD00023,,05-10-2025 03:42:37,SHIPPED,CENTRAL
ORD00024,,17-05-2025 04:47:28,CANCELLED,EAST
ORD00025,,25-07-2026 02:39:28,DELIVERED,SOUTH
ORD00026,,19-05-2025 00:43:21,PLACED,CENTRAL
ORD00027,,01-11-2025 03:58:46,RETURNED,NORTH
ORD00028,,22-05-2025 10:14:59,RETURNED,EAST
ORD00029,,20-04-2026 20:58:14,SHIPPED,CENTRAL
ORD00030,,22-03-2025 20:45:19,CANCELLED,SOUTH
ORD00031,,15-09-2025 05:25:36,PLACED,SOUTH
ORD00032,,27-09-2025 09:00:33,DELIVERED,SOUTH
ORD00033,,10-05-2026 03:22:51,PLACED,EAST
ORD00034,,13-12-2025 21:47:07,PLACED,EAST
ORD00035,,12-06-2025 20:47:54,SHIPPED,NORTH
ORD00036,,30-09-2025 05:26:32,DELIVERED,NORTH
ORD00037,,14-07-2026 13:28:57,PLACED,NORTH
ORD00038,,27-10-2025 18:23:20,CANCELLED,WEST
ORD00039,,10-05-2025 04:46:23,CANCELLED,WEST
ORD00040,,22-10-2025 03:42:50,DELIVERED,CENTRAL
ORD00041,,19-10-2025 12:59:09,PLACED,WEST
ORD00042,,25-03-2026 23:44:07,SHIPPED,SOUTH
